utt_id	file_id	phone_id	utt_num	start_ph	dur_ph	phone	start_utt	end_utt	start_real	end_real
yejin01	yejin01	1	1	0.000	0.730	<SIL>	0	4.931	0.0	0.73
yejin01	yejin01	1	1	1.000	0.160	<SIL>	0	4.931	1.0	1.16
yejin01	yejin01	1	1	3.950	0.960	<SIL>	0	4.931	3.95	4.91
yejin01	yejin01	13	1	1.210	0.120	aa_I	0	4.931	1.21	1.33
yejin01	yejin01	13	1	2.700	0.040	aa_I	0	4.931	2.7	2.74
yejin01	yejin01	13	1	2.960	0.110	aa_I	0	4.931	2.96	3.07
yejin01	yejin01	13	1	3.400	0.150	aa_I	0	4.931	3.4	3.55
yejin01	yejin01	27	1	1.360	0.170	ee_B	0	4.931	1.36	1.53
yejin01	yejin01	35	1	0.730	0.140	ii_B	0	4.931	0.73	0.87
yejin01	yejin01	36	1	2.440	0.100	ii_E	0	4.931	2.44	2.54
yejin01	yejin01	36	1	2.840	0.060	ii_E	0	4.931	2.84	2.9
yejin01	yejin01	41	1	2.140	0.120	k0_I	0	4.931	2.14	2.2600000000000002
yejin01	yejin01	41	1	3.170	0.090	k0_I	0	4.931	3.17	3.26
yejin01	yejin01	49	1	1.670	0.150	kh_I	0	4.931	1.67	1.8199999999999998
yejin01	yejin01	53	1	3.350	0.050	kk_I	0	4.931	3.35	3.4
yejin01	yejin01	56	1	1.330	0.030	ll_E	0	4.931	1.33	1.36
yejin01	yejin01	57	1	3.100	0.070	ll_I	0	4.931	3.1	3.17
yejin01	yejin01	63	1	2.540	0.160	mm_B	0	4.931	2.54	2.7
yejin01	yejin01	65	1	2.340	0.100	mm_I	0	4.931	2.34	2.44
yejin01	yejin01	68	1	0.970	0.030	nf_E	0	4.931	0.97	1.0
yejin01	yejin01	68	1	1.920	0.150	nf_E	0	4.931	1.92	2.07
yejin01	yejin01	75	1	2.900	0.060	nn_B	0	4.931	2.9	2.96
yejin01	yejin01	77	1	2.740	0.100	nn_I	0	4.931	2.74	2.8400000000000003
yejin01	yejin01	81	1	3.070	0.030	oo_I	0	4.931	3.07	3.0999999999999996
yejin01	yejin01	85	1	0.870	0.060	p0_I	0	4.931	0.87	0.9299999999999999
yejin01	yejin01	104	1	3.620	0.330	qq_E	0	4.931	3.62	3.95
yejin01	yejin01	119	1	1.160	0.050	t0_B	0	4.931	1.16	1.21
yejin01	yejin01	125	1	3.300	0.050	tf_I	0	4.931	3.3	3.3499999999999996
yejin01	yejin01	129	1	3.550	0.070	th_I	0	4.931	3.55	3.6199999999999997
yejin01	yejin01	141	1	0.930	0.040	vv_I	0	4.931	0.93	0.9700000000000001
yejin01	yejin01	141	1	1.530	0.140	vv_I	0	4.931	1.53	1.67
yejin01	yejin01	141	1	1.820	0.100	vv_I	0	4.931	1.82	1.9200000000000002
yejin01	yejin01	141	1	3.260	0.040	vv_I	0	4.931	3.26	3.3
yejin01	yejin01	173	1	2.260	0.080	xx_I	0	4.931	2.26	2.34
yejin01	yejin01	183	1	2.070	0.070	yo_B	0	4.931	2.07	2.1399999999999997
